Date/Time,Cooling:Electricity [J](Hourly),Heating:NaturalGas [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 11/02  08:00:00,0.0,113949845.24743435,18466671.234855436,149227177.34515285,24294387.65081899,5987799.176932977,237982580.832412,237982580.83241308,368262145.86917025 
 11/02  09:00:00,0.0,107529651.40675868,15807040.873338813,139867388.97765952,23650230.663617253,5987799.176932977,223124627.65849543,223124627.65849644,326195562.11993486 
 11/02  10:00:00,0.0,96995491.80537863,15807040.873338813,128503692.2426721,22585449.134638987,5987799.176932977,207010293.65926602,207010293.65926713,279003339.2270979 
 11/02  11:00:00,0.0,97269503.30398318,15807040.873338813,130177723.87517832,22639829.45079734,5987799.176932977,208993780.60179654,208993780.60179752,241914571.9681234 
 11/02  12:00:00,0.0,123519149.25815848,15590730.651414875,128385990.86668785,24337061.669196475,5987799.176932977,218212342.7861101,218212342.7861111,264706657.57419023 
 11/02  13:00:00,0.0,130356257.17835097,15807040.873338813,123481597.34515285,25908327.219887752,5987799.176932977,217084921.1293615,217084921.12936252,260507591.01935908 
 11/02  14:00:00,0.0,92829664.00715199,15807040.873338813,121807565.71264665,21113871.32121728,5987799.176932977,197144699.5709157,197144699.57091662,184169873.56095362 
 11/02  15:00:00,0.0,99875993.72598596,19796486.53312959,126829660.61016576,22971343.72085696,5987799.176932977,211197942.69336691,211197942.693368,238548837.05945957 
 11/02  16:00:00,0.0,105865813.13545798,29105192.44588942,161629800.20024115,23491178.48228845,5987799.176932977,258057722.70920086,258057722.70920184,244595244.54668084 
 11/02  17:00:00,0.0,111270345.35841882,35592787.787870474,204884491.0712216,24079789.475032106,5987799.176932977,317889673.34866,317889673.3486607,294588181.1053287 
 11/02  18:00:00,0.0,117710044.44117472,44901493.93566237,204645835.6122203,24643440.674079917,5987799.176932977,349747401.48398244,349747401.4839802,337724462.80916405 
 11/02  19:00:00,0.0,75361725.94151509,51550569.72193773,185571734.18467608,20389634.34299811,5987799.176932977,317495766.7757583,317495766.77575934,261100991.85293522 
 11/02  20:00:00,0.0,79749457.69790396,51550569.72193773,178875607.65465096,20904111.20241387,5987799.176932977,312833286.31170183,312833286.31170285,291616486.75470406 
 11/02  21:00:00,0.0,100237230.48905602,38252418.149386905,164823601.124626,22935728.062461354,5987799.176932977,294771709.33216226,294771709.33216333,244802923.63721162 
 11/02  22:00:00,0.0,94119045.86825627,24954266.576836366,134031278.26953766,22268360.48914656,5987799.176932977,247308612.05259764,247308612.05259863,235287113.54816997 
 11/02  23:00:00,0.0,131293574.4230782,15645560.66407668,104912987.04695597,26134629.46644938,5987799.176932977,226173408.33460334,226173408.33460438,212093561.94849128 
 11/02  24:00:00,0.0,184310198.75531396,11656115.239317864,79472635.82437395,31286119.44389364,5987799.176932977,219472958.22543976,219472958.22544074,213714782.75531396 
 11/03  01:00:00,0.0,188933914.94944385,11656115.239317864,72776509.29434878,31662710.86567015,5987799.176932977,214397209.55365974,214397209.5536607,218338498.94944385 
 11/03  02:00:00,0.0,160934325.29399645,11656115.239317864,69428446.02933633,28904028.37442105,5987799.176932977,199003124.8295032,199003124.82950422,190338909.29399645 
 11/03  03:00:00,0.0,169905935.2582303,11656115.239317864,67754414.39683005,29916687.23580979,5987799.176932977,201816074.89668995,201816074.896691,199310519.2582303 
 11/03  04:00:00,0.0,182907309.26434052,16975375.727318894,71432354.39683005,31133225.97548569,5987799.176932977,216194790.57482767,216194790.57482874,212311893.26434052 
 11/03  05:00:00,0.0,192603237.87895706,26284081.875110786,87158392.55936149,32086495.856827416,5987799.176932977,245351240.17254147,245351240.17254245,222007821.87895706 
 11/03  06:00:00,0.0,234572361.66205707,27613896.938352972,120284500.51693058,35998064.48325374,5987799.176932977,296461674.5095056,296461674.5095067,428553542.18626904 
 11/03  07:00:00,0.0,270965342.70409846,26284081.875110786,146293383.9335011,39221624.05005009,5987799.176932977,321358634.81985235,321358634.81985325,515455851.38700044 
 11/03  08:00:00,0.0,271452376.89602184,18466671.234855436,149227177.34515285,39178451.54648924,5987799.176932977,303098656.01922846,303098656.01922953,521176212.9563636 
 11/03  09:00:00,0.0,265177511.20468533,15807040.873338813,139867388.97765952,38654886.74684678,5987799.176932977,288968149.6491631,288968149.64916414,483985103.38759804 
 11/03  10:00:00,0.0,225485145.5416273,15807040.873338813,128503692.2426721,34924907.71537321,5987799.176932977,262060369.62776735,262060369.6277684,407590092.66048086 
 11/03  11:00:00,0.0,181199554.71325654,15807040.873338813,130177723.87517832,30879639.30171372,5987799.176932977,246479716.7847392,246479716.78474024,339435718.67956173 
 11/03  12:00:00,0.0,148526449.46173376,15590730.651414875,128385990.86668785,26675186.514555592,5987799.176932977,229264716.99038407,229264716.99038512,276613512.41854155 
 11/03  13:00:00,0.0,108681605.23816192,15807040.873338813,123481597.34515285,23718059.785769347,5987799.176932977,207567213.08256948,207567213.08257037,247474367.8272261 
 11/03  14:00:00,0.0,103087393.94809398,15807040.873338813,121807565.71264665,22236089.29078787,5987799.176932977,202686670.61907056,202686670.61907157,186003167.03824028 
 11/03  15:00:00,0.0,90267429.2765438,19796486.53312959,126829660.61016576,21875807.740637314,5987799.176932977,206507091.45192218,206507091.45192313,228969980.328368 
 11/03  16:00:00,0.0,67559771.46192715,29105192.44588942,161629800.20024115,19572760.213173762,5987799.176932977,240225549.57312265,240225549.5731237,209469775.95935526 
 11/03  17:00:00,0.0,84931750.45650572,35592787.787870474,204884491.0712216,21449183.885292836,5987799.176932977,305944343.6964903,305944343.6964913,265002543.42158926 
 11/03  18:00:00,0.0,134158607.26982406,44901493.93566237,204645835.6122203,26320795.530221332,5987799.176932977,357490241.4232643,357490241.4232616,354327871.14992523 
 11/03  19:00:00,0.0,157455975.69357535,51550569.72193773,185571734.18467608,28607813.333903294,5987799.176932977,355012293.2071118,355012293.20711285,356005033.5383253 
 11/03  20:00:00,0.0,176775446.56438923,51550569.72193773,178875607.65465096,30549512.370177194,5987799.176932977,356727302.26168245,356727302.2616834,376368415.29875004 
 11/03  21:00:00,0.0,180455757.46362498,38252418.149386905,164823601.124626,30845956.634419464,5987799.176932977,330554434.5099717,330554434.5099727,325101289.15096307 
 11/03  22:00:00,0.0,222931159.81731033,24954266.576836366,134031278.26953766,34898690.426584184,5987799.176932977,303488924.32051337,303488924.3205143,364151874.70723593 
 11/03  23:00:00,0.0,248744676.86089364,15645560.66407668,104912987.04695597,37157403.73779075,5987799.176932977,274343585.7090915,274343585.7090925,329458779.2432389 
 11/03  24:00:00,0.0,247127969.22046214,11656115.239317864,79472635.82437395,37016287.97666214,5987799.176932977,244172768.23347276,244172768.2334737,276532553.2204621 
 11/04  01:00:00,0.0,240224185.11912894,11656115.239317864,72776509.29434878,36380414.36989693,5987799.176932977,234799435.21653134,234799435.21653226,269628769.11912894 
 11/04  02:00:00,0.0,226252660.062038,11656115.239317864,69428446.02933633,35086632.249081686,5987799.176932977,226010996.5305997,226010996.53060076,255657244.062038 
 11/04  03:00:00,0.0,221398059.09587014,11656115.239317864,67754414.39683005,34679688.37836648,5987799.176932977,222624280.92869264,222624280.9286937,250802643.09587014 
 11/04  04:00:00,0.0,221849463.89768592,16975375.727318894,71432354.39683005,34719872.970418364,5987799.176932977,231792209.52340204,231792209.523403,251254047.89768592 
 11/04  05:00:00,0.0,206284431.28041598,26284081.875110786,87158392.55936149,33265279.13743177,5987799.176932977,250658564.5115558,250658564.5115568,235689015.28041598 
 11/04  06:00:00,0.0,188844872.63103184,27613896.938352972,120284500.51693058,31675751.52347547,5987799.176932977,278352278.7207875,278352278.7207885,382982036.4527683 
 11/04  07:00:00,0.0,208300727.18407434,26284081.875110786,146054728.47449982,33503573.389116652,5987799.176932977,297403855.7207521,297403855.7207531,467808199.11115783 
 11/04  08:00:00,0.0,220443291.75234544,16975375.727318894,147728760.107006,34519559.61449841,5987799.176932977,280806378.2548358,280806378.25483686,455752881.511925 
 11/04  09:00:00,0.0,180195851.51525462,14315745.365802372,138368971.73951268,30709449.85364733,5987799.176932977,252437875.22630012,252437875.22630113,399177588.80769306 
