Date/Time,BASEMENT:Zone Air Temperature [C](Hourly),CORE_BOTTOM:Zone Air Temperature [C](Hourly),CORE_MID:Zone Air Temperature [C](Hourly),CORE_TOP:Zone Air Temperature [C](Hourly),PERIMETER_BOT_ZN_3:Zone Air Temperature [C](Hourly),PERIMETER_BOT_ZN_2:Zone Air Temperature [C](Hourly),PERIMETER_BOT_ZN_1:Zone Air Temperature [C](Hourly),PERIMETER_BOT_ZN_4:Zone Air Temperature [C](Hourly),PERIMETER_MID_ZN_3:Zone Air Temperature [C](Hourly),PERIMETER_MID_ZN_2:Zone Air Temperature [C](Hourly),PERIMETER_MID_ZN_1:Zone Air Temperature [C](Hourly),PERIMETER_MID_ZN_4:Zone Air Temperature [C](Hourly),PERIMETER_TOP_ZN_3:Zone Air Temperature [C](Hourly),PERIMETER_TOP_ZN_2:Zone Air Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Air Temperature [C](Hourly),PERIMETER_TOP_ZN_4:Zone Air Temperature [C](Hourly),GROUNDFLOOR_PLENUM:Zone Air Temperature [C](Hourly),MIDFLOOR_PLENUM:Zone Air Temperature [C](Hourly),TOPFLOOR_PLENUM:Zone Air Temperature [C](Hourly),DATACENTER_BOT_ZN_6:Zone Air Temperature [C](Hourly),DATACENTER_MID_ZN_6:Zone Air Temperature [C](Hourly),DATACENTER_TOP_ZN_6:Zone Air Temperature [C](Hourly),DATACENTER_BASEMENT_ZN_6:Zone Air Temperature [C](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Cooling:Electricity [J](Hourly),Humidifier:Electricity [J](Hourly),Heating:NaturalGas [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly) 
 05/13  22:00:00,26.145568241367684,24.692123531111164,24.356577696512602,24.959174550070784,26.15881599789435,26.383710794948062,26.248473505360153,26.672390803452643,26.325121807659453,26.520196496080157,26.381783397921847,26.681375948912137,26.44186317217343,26.57047910661953,26.47535444696491,26.71929167965108,26.51865121399271,26.43140802591974,27.220977361570196,27.000001150799864,27.00000010063307,27.00000603713285,27.00255277365456,627087.177317147,633146764.7714422,0.0,0.0,36545657.73145594,746122165.6661776,214776919.8213154,81745822.56658143 
 05/13  23:00:00,26.1920921491373,24.607560532759056,24.263027065157434,24.819005568218866,25.96792867894006,26.28568990957541,26.10180280309605,26.86879699021723,26.2190691240303,26.52383863754366,26.29563348776166,26.838858981401405,26.458464693324363,26.63885815856078,26.490841563463665,26.90753152377434,26.373213437482462,26.271253138785923,26.86108726294657,27.000002614346567,27.000002429744413,27.000002575669907,27.00351161599734,578014.6229331708,576357637.1105251,0.0,0.0,36545657.73145594,746122165.6661776,197489076.34320801,68865372.07993904 
 05/13  24:00:00,26.237642384677557,24.775928819336187,24.412747093584372,24.9322884288641,26.06545244118926,26.299694225262655,26.177370255961083,26.62459343642864,26.283531426348116,26.39232479921544,26.309467225356826,26.595963616426644,26.357456258525968,26.461498305579937,26.37077394856979,26.625763738457508,26.378027370523853,26.269136185794228,26.73224682255574,26.99999412607932,26.99999378107536,26.999993520305868,27.003945370878196,608438.032659823,686048278.6703228,0.0,0.0,36545657.73145594,746122165.6661776,209937608.86421317,81658154.69843622 
 05/14  01:00:00,26.281385453111906,24.669948765225513,24.295971941168208,24.761951520963464,25.87484623969327,26.051757770915632,25.971162580898916,26.82111847764753,26.05484365942203,26.324996930757493,26.096848663499042,26.731885826032293,26.24927354930801,26.456242307850534,26.287596386526914,26.819294702844303,26.20690674037995,26.086175960104413,26.392337739425923,27.000003090423245,27.000002680374408,27.000002592200428,27.004282869355304,566868.9400197283,586462193.3631527,0.0,0.0,36545657.73145594,746122165.6661776,197137831.62245175,68681606.05967456 
 05/14  02:00:00,26.323553907366502,24.617784087781853,24.405762787547882,24.64872510724949,25.579248678382573,25.719274987169218,25.662912862945422,26.54960913709208,25.895513610755668,26.20353236691541,25.944946588818606,26.611508848323414,25.912781223939387,26.172358342444088,25.95661424508556,26.504168347035318,26.055321031449214,25.982131843328602,26.121327572479093,27.000003338985483,27.000003113037963,27.00000292519418,27.00392191642652,581863.3941992292,607516182.7748929,0.0,0.0,36545657.73145594,746122165.6661776,199071102.06636548,81459639.5127383 
 05/14  03:00:00,26.364425665211513,24.804804102187955,24.497364622527186,24.76777136894337,25.62690378347429,25.727932675223354,25.700081520480634,26.650201769564177,25.79250790158991,26.07221705051911,25.837249155098885,26.495863580117668,25.88198439180553,26.116763010178357,25.922207749359952,26.52834460425522,26.058491302534282,25.97640270078234,25.981409356975874,27.000022594725337,27.000020726004774,27.000020407475773,27.001557185359406,563398.1109924865,537925753.771653,0.0,0.0,36545657.73145594,746122165.6661776,196053868.2588261,87592282.77924383 
 05/14  04:00:00,26.404424359131635,24.981234759978175,25.041558453430465,24.926262839603794,25.641445433833933,25.705377614318195,25.703920366243306,26.64900673671472,26.128611807987408,26.36372868955975,26.168063386995943,26.853597047838495,25.88591734338026,26.09171581637402,25.921865423001936,26.502133876050124,26.062829355848546,26.075712880961195,25.91640660420957,27.000044394020637,27.000040428585894,27.00004210140995,27.00465480168353,486340.88753225625,338092479.3774218,0.0,0.0,36545657.73145594,746122165.6661776,167709250.2267056,80729874.8029002 
 05/14  05:00:00,26.443851141631516,25.022085503701163,25.741530554590682,25.72819843070589,25.413542689408416,25.44225823384495,25.47369617141238,26.409400925990543,26.327545622274787,26.514288811954284,26.361326587906007,26.98525317520165,26.23824112050521,26.41015174466519,26.26920332847382,26.847585018240604,26.026553747315813,26.229971433526387,25.79536309080656,27.000078425088308,27.000076404798634,27.000072999049838,27.004602531146833,452295.20592903177,224395582.78795582,0.0,0.0,36545657.73145594,746122165.6661776,155462401.34096742,55121198.14146774 
 05/14  06:00:00,26.501869514753235,26.180379391038787,25.96909221549186,26.07849909264304,26.015699516724965,26.071873805241452,26.0343489669814,26.974451132566923,26.160672577512887,26.4082354748948,26.152474353531147,26.716875664934506,26.134701687744542,26.353629302719966,26.122671133453697,26.625670591637924,26.22265470098229,26.20055441700055,25.594108812192115,27.00001608234814,27.000014642271026,27.000014497114822,27.004718696713265,498871.22641425143,193951003.80379593,0.0,0.0,45906309.03347051,824394452.0555365,152609630.79620156,17214356.553167153 
 05/14  07:00:00,26.549312370999658,25.820521288340093,25.386687785729368,25.582739161989796,25.921195852000082,26.741242658836597,25.67753239065475,26.534515830535124,25.841729628762874,26.856840139637075,25.596598831221385,26.111491453769275,25.915275484751984,26.9050339276239,25.67630313881462,26.13140283600516,26.190286983573554,26.0616270949082,25.486935628458195,27.000000700944096,27.00000026043403,27.000000263245315,27.00328164134002,580933.1895450612,351421125.33527935,0.0,0.0,43300397.35575397,824394452.0555365,185422051.9057824,68224724.46389979 
