Date/Time,Cooling:Electricity [J](Hourly),Humidifier:Electricity [J](Hourly),Heating:NaturalGas [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly) 
 12/18  06:00:00,435022539.7336804,118948487.24378948,14407650.737469716,38137022.65685523,2114277911.0522914,189416845.05258322,74170708.60315892 
 12/18  07:00:00,458967877.8516204,130377267.91226761,239276692.06008598,88762776.67582561,2218640959.5714364,261995438.26267743,94066839.9651066 
 12/18  08:00:00,421035435.4924383,137308013.45370457,259540603.02997184,277661474.3019468,2218640959.5714364,256161522.57352898,94080100.81175967 
 12/18  09:00:00,459272042.18956435,125861235.51582043,58130231.756776094,772962021.5905899,2802138067.978131,270961820.99629563,93571796.80681078 
 12/18  10:00:00,562261109.8649329,109542405.13575277,3122211.88176264,766134049.2768176,2802138067.978131,291605832.0676578,93565100.19831839 
 12/18  11:00:00,657335810.5225184,84900038.43587814,0.0,766134049.2768176,2802138067.978131,310594345.6040849,93781596.96629035 
 12/18  12:00:00,718871618.3606063,70061163.72533259,0.0,766134049.2768176,2802138067.978131,328193949.6026166,94011875.20394905 
 12/18  13:00:00,748142097.92117,63294308.344670966,0.0,766134049.2768176,2685438646.296792,308131552.7143701,94088375.99498117 
 12/18  14:00:00,820092486.9748156,47719730.128874935,0.0,766134049.2768176,2802138067.978131,322276940.49001825,94612166.28517205 
 12/18  15:00:00,865743510.8811982,40221159.73822417,0.0,766134049.2768176,2802138067.978131,339718737.77324516,95015054.76245522 
 12/18  16:00:00,883567144.2307365,32500048.45711774,0.0,768310341.0892677,2802138067.978131,373309042.6327874,94869085.96588409 
 12/18  17:00:00,867587987.7180889,33640476.65711096,0.0,787867921.172709,2802138067.978131,373015818.66226,94500418.49109764 
 12/18  18:00:00,746455066.3823586,49357438.95429021,0.0,486122170.2327684,2335340381.2527757,272879970.85048836,93768752.52963308 
 12/18  19:00:00,684884675.8552004,69814780.68822892,0.0,296653033.108991,2218640959.5714364,258198804.0373185,93600826.88786256 
 12/18  20:00:00,621584973.6678573,88596004.6671196,0.0,296653033.108991,2218640959.5714364,255734462.49535644,93551618.27990548 
 12/18  21:00:00,592182002.1925403,94589652.94568612,0.0,197765105.62937143,2218640959.5714364,254898291.0811633,93551404.44755203 
 12/18  22:00:00,566786240.0939573,98589210.35546167,1182463.1630748883,197765105.62937143,2218640959.5714364,254337068.48276407,93535074.85157801 
 12/18  23:00:00,432402979.57929385,103147324.05131072,0.0,98887927.4796197,2218640959.5714364,152609630.79620156,17214356.553167153 
 12/18  24:00:00,426162867.41966575,107266374.17798367,0.0,49438589.07487582,2218640959.5714364,152609630.79620156,17214356.553167153 
 12/19  01:00:00,420011681.9148034,111424769.23591486,0.0,38694479.62202592,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/19  02:00:00,401039154.51797605,122842375.26550758,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/19  03:00:00,377551367.8563554,137091332.74064428,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/19  04:00:00,365408903.7088132,144462811.91607976,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/19  05:00:00,361124406.3817915,147381561.1746301,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/19  06:00:00,379282510.8364362,147220940.6718108,75241664.58789776,38137022.65685523,2114277911.0522914,183691167.0197658,56580827.16859323 
 12/19  07:00:00,411180939.4938415,145807680.2061806,444739169.7128614,88762776.67582561,2218640959.5714364,264618826.26081717,94962835.02431247 
 12/19  08:00:00,394786805.7149645,141968904.15517393,301984299.1579773,278113058.5189481,2218640959.5714364,254339102.88553187,94300884.0286306 
 12/19  09:00:00,448933641.96090835,126714678.23270774,41320529.74656347,774317630.0708042,2802138067.978131,272274581.41544104,93538671.72960195 
 12/19  10:00:00,559532033.1164181,110993730.34642282,3507155.9123173314,766184062.5560946,2802138067.978131,295429565.76693094,93608658.90188468 
 12/19  11:00:00,658755733.6321181,87958767.91814004,21758.289451696954,766134049.2768176,2802138067.978131,315821539.9328338,93931183.7977339 
 12/19  12:00:00,748766045.5671878,65425759.59421626,0.0,766134049.2768176,2802138067.978131,336870409.35096145,94400241.88170564 
 12/19  13:00:00,800484285.3382175,50720560.19595759,0.0,766134049.2768176,2685438646.296792,312379940.8622894,94624171.94391473 
 12/19  14:00:00,876985552.9054778,34159945.01699937,0.0,766134049.2768176,2802138067.978131,326634349.8354931,95579073.87668732 
 12/19  15:00:00,908605853.472957,29409953.578124616,0.0,766134049.2768176,2802138067.978131,343659653.85988057,95920621.81438875 
 12/19  16:00:00,915866114.784994,26161368.45902479,0.0,768449132.6311516,2802138067.978131,380627263.1669948,95479853.1407824 
 12/19  17:00:00,912286526.4519079,23080500.869963277,0.0,787492346.3100199,2802138067.978131,384570880.45815194,94956623.08835901 
 12/19  18:00:00,784771185.3879083,41229233.21588995,0.0,486165554.25855666,2335340381.2527757,276697781.48308754,93961698.59518453 
 12/19  19:00:00,701859879.8638489,65596704.62221324,0.0,296653033.108991,2218640959.5714364,258354542.4865458,93704437.30246219 
 12/19  20:00:00,649044198.303746,81369725.51464881,0.0,296653033.108991,2218640959.5714364,255574623.96644276,93614706.43182164 
 12/19  21:00:00,587649949.1074188,93917048.83141999,0.0,197765105.62937143,2218640959.5714364,254483084.95932925,93546861.23473844 
 12/19  22:00:00,532339089.6669297,105717142.2028467,117505.1637988719,197765105.62937143,2218640959.5714364,253940850.3692306,93483381.63065298 
 12/19  23:00:00,420567899.4136804,110243227.30950771,0.0,98887927.4796197,2218640959.5714364,152609630.79620156,17214356.553167153 
 12/19  24:00:00,414514037.6760259,114015147.694848,0.0,49438589.07487582,2218640959.5714364,152609630.79620156,17214356.553167153 
 12/20  01:00:00,402197724.0589082,122156574.76514588,0.0,38694479.62202592,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/20  02:00:00,389644052.2927722,130222241.59151098,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/20  03:00:00,383259244.8577752,134200501.55900754,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/20  04:00:00,382712659.8625253,134301656.76645243,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/20  05:00:00,382293701.5679809,134350023.96391785,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/20  06:00:00,392503750.8710272,138014187.11902803,33168686.74004533,38137022.65685523,2114277911.0522914,182977795.00761387,67878791.78811817 
 12/20  07:00:00,418219646.07226956,139978427.90080497,274462882.3499085,88762776.67582561,2218640959.5714364,262552753.95706478,94342634.27307156 
 12/20  08:00:00,421639354.0024373,129105319.22240922,121323444.8998512,278284649.04041517,2218640959.5714364,254062151.18531126,93723477.45041454 
 12/20  09:00:00,465854148.9567925,122329802.86162162,22460231.538472354,773976531.616437,2802138067.978131,276651209.82464486,93491550.89908719 
 12/20  10:00:00,536270368.91065586,118864384.30492066,7348649.0439204,766163039.7891686,2802138067.978131,302402286.4163556,93594847.66359536 
 12/20  11:00:00,644011858.2496985,96100274.35014355,41839.619830938565,766134049.2768176,2802138067.978131,322390117.8560711,93918892.48211002 
 12/20  12:00:00,718066715.2046151,77062518.25782269,0.0,766134049.2768176,2802138067.978131,342147956.6584491,94300723.77962257 
 12/20  13:00:00,757386456.1562874,66012483.261107326,0.0,766134049.2768176,2685438646.296792,313371932.7567406,94436312.32360947 
 12/20  14:00:00,830150048.5811079,49797311.61786913,0.0,766134049.2768176,2802138067.978131,326098892.9967679,95221333.88471103 
 12/20  15:00:00,874606791.3434695,39783163.267367,0.0,766134049.2768176,2802138067.978131,341981662.16532326,95447780.31702097 
 12/20  16:00:00,895975296.9070132,33968074.51494983,0.0,768120291.7551585,2802138067.978131,378435299.5489181,95228940.10166922 
 12/20  17:00:00,878366033.9086411,37517272.55062417,0.0,787601566.6134648,2802138067.978131,388869126.89666796,94879166.1295227 
 12/20  18:00:00,750598320.3047361,53543976.36553773,0.0,485739020.15363365,2335340381.2527757,277306578.32377064,93910698.53835377 
 12/20  19:00:00,681992655.16011,75167678.23010747,0.0,296653033.108991,2218640959.5714364,257584906.6214324,93692293.27096044 
 12/20  20:00:00,595439327.9168679,91975982.13933568,0.0,296653033.108991,2218640959.5714364,254978356.0544051,93535792.05416629 
 12/20  21:00:00,544618150.9561453,103625354.5515625,451035.2148919901,197765105.62937143,2218640959.5714364,254134594.29142323,93432118.72033837 
 12/20  22:00:00,475594511.38113976,119002030.19395494,3725791.831276589,197765105.62937143,2218640959.5714364,253577385.03669775,93394356.27499446 
 12/20  23:00:00,389276493.7211362,131122452.4856859,0.0,98887927.4796197,2218640959.5714364,152609630.79620156,17214356.553167153 
 12/20  24:00:00,377456613.0907893,138703665.17489517,0.0,49438589.07487582,2218640959.5714364,152609630.79620156,17214356.553167153 
 12/21  01:00:00,365404128.166901,146734865.33207148,0.0,38694479.62202592,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/21  02:00:00,361330799.7657536,149075045.25712344,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/21  03:00:00,360986891.653819,149066700.03393537,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/21  04:00:00,360633580.9508443,149047020.2329082,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/21  05:00:00,360109528.484795,149215814.2544719,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/21  06:00:00,369351024.7647108,149350202.05799907,118706721.17718202,38137022.65685523,2114277911.0522914,182270504.00706744,47826692.190216996 
 12/21  07:00:00,405995833.4180055,144999351.91939655,512552725.33468175,88762776.67582561,2218640959.5714364,265710122.72494626,95227261.94293252 
 12/21  08:00:00,407884829.58453995,135761987.76608256,252336765.42802754,277687450.35662496,2218640959.5714364,253619190.02185044,94116059.01131262 
 12/21  09:00:00,440979944.9604831,129730244.9571509,54589313.26994188,772392678.3259655,2802138067.978131,271372326.45531636,93541828.54858316 
 12/21  10:00:00,504967929.3598957,124506084.90834431,17002559.320151556,766134049.2768176,2802138067.978131,290318580.57599497,93552772.19440256 
 12/21  11:00:00,608155999.6848963,105101753.85993111,1574091.364139371,766134049.2768176,2802138067.978131,308534252.3528564,93825823.90455134 
 12/21  12:00:00,700558407.517207,78457009.39678185,0.0,766134049.2768176,2802138067.978131,327024225.74375737,94322060.95625204 
 12/21  13:00:00,736601149.2389212,67677063.98895447,0.0,766134049.2768176,2685438646.296792,313187078.3646529,94367966.84815368 
 12/21  14:00:00,782709613.0793586,58289458.65746412,0.0,766134049.2768176,2802138067.978131,347694927.3322058,94845079.37172426 
 12/21  15:00:00,816946294.9650059,53934622.89293383,0.0,766134049.2768176,2802138067.978131,358559416.8809413,95167695.54784532 
 12/21  16:00:00,839409437.8885956,49713082.971104085,0.0,767728639.352967,2802138067.978131,380889518.8196831,95264673.59063765 
 12/21  17:00:00,833154080.805907,49481978.70567499,0.0,786622190.9242752,2802138067.978131,368215931.5358764,95050596.37521705 
 12/21  18:00:00,700541077.6124934,72321670.73785071,0.0,485572324.2712928,2335340381.2527757,270793973.83467615,93854297.82078892 
 12/21  19:00:00,614882746.942653,89836887.71202075,0.0,296653033.108991,2218640959.5714364,255358404.26964867,93599480.4264725 
 12/21  20:00:00,568780284.5624421,97948275.91242935,911537.7411218532,296653033.108991,2218640959.5714364,254319538.86273688,93543339.29943565 
 12/21  21:00:00,546369970.1985635,101769720.6653018,3505272.480917675,197765105.62937143,2218640959.5714364,253708089.3148623,93523553.33510137 
 12/21  22:00:00,525386205.4057949,105892354.45435075,5582501.066943897,197765105.62937143,2218640959.5714364,253310243.02474445,93490509.89977042 
 12/21  23:00:00,413256669.81845456,114354145.0354282,0.0,98887927.4796197,2218640959.5714364,152609630.79620156,17214356.553167153 
 12/21  24:00:00,395403372.0333224,125542027.08430225,0.0,49438589.07487582,2218640959.5714364,152609630.79620156,17214356.553167153 
 12/22  01:00:00,377517944.26887757,137036092.56451455,0.0,38694479.62202592,2114277911.0522914,152609630.79620153,17012017.457849614 
 12/22  02:00:00,371341767.7427518,140633785.3861942,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/22  03:00:00,370723633.33497363,141271010.97329777,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/22  04:00:00,364369402.9875308,145384812.6278912,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/22  05:00:00,360487131.0595672,147611600.1313631,0.0,36545657.73145594,2114277911.0522914,152609630.79620156,17012017.457849614 
 12/22  06:00:00,372173658.950982,148233666.5338179,104471700.38986817,38137022.65685523,2114277911.0522914,182424563.08767122,49066573.200890735 
 12/22  07:00:00,396930058.81923175,147792434.03722847,685027548.7355943,88762776.67582561,2218640959.5714364,263402288.02123192,96304729.09409396 
 12/22  08:00:00,373050405.92764926,146814569.07275885,564381691.4282374,278431692.45645523,2218640959.5714364,253417411.7360753,95755978.5217301 
 12/22  09:00:00,410961772.10698694,137167688.9184556,155414615.51370618,774100389.0839331,2802138067.978131,270679159.31838644,93962084.05983084 
 12/22  10:00:00,527751168.531158,120048432.92277534,11430823.14052688,766163936.3709044,2802138067.978131,294097896.74001694,93607108.73477507 
 12/22  11:00:00,636454306.2485676,96319382.65163225,1379951.281247771,766134049.2768176,2802138067.978131,314612786.6391335,93917383.86841905 
 12/22  12:00:00,708008336.1520023,77130192.95017262,0.0,766134049.2768176,2802138067.978131,335322769.82009304,94274343.01954122 
 12/22  13:00:00,735879507.9078286,69735476.21311891,0.0,766134049.2768176,2685438646.296792,312436583.864487,94302033.81204341 
 12/22  14:00:00,806916184.3049994,53251477.08813766,0.0,766134049.2768176,2802138067.978131,322962566.3805434,94958735.58006023 
 12/22  15:00:00,849320535.7005405,45700362.46101359,0.0,766134049.2768176,2802138067.978131,339611932.5626377,95351951.33777079 
 12/22  16:00:00,855578428.4199288,43195318.015311554,0.0,767746784.0800662,2802138067.978131,372840013.9948168,95097546.44295084 
 12/22  17:00:00,853522154.5473931,40656820.60324604,0.0,787341394.2856554,2802138067.978131,375725465.25438654,94724866.77246995 
 12/22  18:00:00,732210902.689578,55395764.03490259,0.0,485562968.8020041,2335340381.2527757,273500063.8402312,93799992.64877209 
 12/22  19:00:00,672653649.6503153,76731654.4409617,0.0,296653033.108991,2218640959.5714364,256788593.28891018,93619742.8930999 
 12/22  20:00:00,590333375.161701,94464725.03502019,391039.70575181034,296653033.108991,2218640959.5714364,254501733.9451259,93551345.23277609 
 12/22  21:00:00,531931648.0218712,105669327.66555011,2682243.38939639,197765105.62937143,2218640959.5714364,253790704.5238973,93487268.08177152 
 12/22  22:00:00,495546219.7273219,114029698.44459353,4591204.512687651,197765105.62937143,2218640959.5714364,253352480.55197096,93453664.55491008 
 12/22  23:00:00,388273176.73147315,130400899.77909097,0.0,98887927.4796197,2218640959.5714364,152609630.79620156,17214356.553167153 
 12/22  24:00:00,384013976.1282812,132926582.56670398,0.0,49438589.07487582,2218640959.5714364,152609630.79620156,17214356.553167153 
 12/23  01:00:00,379602612.4415887,137558104.89629227,0.0,38694479.62202592,2023669251.5007389,152609630.79620156,17012017.457849614 
 12/23  02:00:00,368183519.6446823,144497117.36722904,0.0,36545657.73145594,2023669251.5007389,152609630.79620156,17012017.457849614 
 12/23  03:00:00,370462499.44120216,142426461.54512033,0.0,36545657.73145594,2023669251.5007389,152609630.79620156,17012017.457849614 
 12/23  04:00:00,362073566.26741135,147208453.1192183,0.0,36545657.73145594,2023669251.5007389,152609630.79620156,17012017.457849614 
 12/23  05:00:00,360386956.7518874,148155585.34721565,0.0,36545657.73145594,2023669251.5007389,152609630.79620156,17012017.457849614 
 12/23  06:00:00,371792968.29405355,148256104.27278036,73586400.42738408,36545657.73145594,2023669251.5007389,182426035.21129966,52189003.76517624 
 12/23  07:00:00,397446063.29967225,148447237.76731145,557770301.3231858,88762776.67582561,2218640959.5714364,263720396.75765753,95744019.00143705 
 12/23  08:00:00,372641341.4291772,148056040.9030229,479281481.6023316,92842355.365082,2218640959.5714364,252975516.47109506,95230282.3463245 
 12/23  09:00:00,383176932.4290412,142552364.97983906,257415400.4785089,258081585.60127234,2335340381.2527757,254344652.24618852,94222109.3979664 
 12/23  10:00:00,421210440.5486941,131041070.69201468,86756255.79799892,255387919.12691295,2335340381.2527757,257358498.01293874,93635743.39323558 
